Record Count,Loaded to Repository,Survey,Year,Species Code,Common Name,Scientific Name,Sex,Age (years),Age Pop,Mean Length (mm),Std Deviation Length
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,Female,-9,13150917,406.364739432239,51.5990415250301
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,Female,2,25063344.4539683,255.035518384294,16.8175358621051
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,Female,3,373990271.075591,315.539363260253,37.1271662882778
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,Female,4,61538120.1901099,349.118913888884,26.1985544275567
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,Female,5,127313482.401904,366.510950554329,20.6420194961379
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,Female,6,49989300.6944444,372.501266103984,24.404914832885
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,Female,7,66855716.7575758,389.461564865893,13.6412502598491
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,Female,8,7750417.25974026,359.666467140473,14.2556685015773
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,Female,9,10051157.1666667,410.341789004294,4.11978524819623
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,Female,10,31256,490,0
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,Male,-9,1130380,210.68030219926,13.0235455515303
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,Male,2,35296962.6232906,254.00813655597,14.4764751782217
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,Male,3,481309892.308203,315.441999469742,32.3247464449378
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,Male,4,62418047.6724638,362.464643498601,27.4755799745168
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,Male,5,121257534.928279,355.979010665288,23.2957799970528
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,Male,6,34370878.1600706,378.900001453954,10.6689708729938
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,Male,7,40857600.0576923,387.021140059498,28.5210294564218
1,2023-09-14 19:00:20,AI,1991,21921,Atka mackerel,Pleurogrammus monopterygius,Male,8,13078384.25,390,0
1,2023-09-14 19:00:20,AI,1994,21921,Atka mackerel,Pleurogrammus monopterygius,Female,-9,1065865,525.377341408152,23.1272576125983
1,2023-09-14 19:00:20,AI,1994,21921,Atka mackerel,Pleurogrammus monopterygius,Female,2,7914253.09119769,253.260037597688,19.996187142838
1,2023-09-14 19:00:20,AI,1994,21921,Atka mackerel,Pleurogrammus monopterygius,Female,3,78547383.471685,328.584379898469,20.5848489810759
1,2023-09-14 19:00:20,AI,1994,21921,Atka mackerel,Pleurogrammus monopterygius,Female,4,58150342.5502689,371.95831138289,21.3019230821127
1,2023-09-14 19:00:20,AI,1994,21921,Atka mackerel,Pleurogrammus monopterygius,Female,5,96935774.1852513,378.672871601841,21.0064853153431
1,2023-09-14 19:00:20,AI,1994,21921,Atka mackerel,Pleurogrammus monopterygius,Female,6,117077377.231604,405.90259582539,29.8916015399212
1,2023-09-14 19:00:20,AI,1994,21921,Atka mackerel,Pleurogrammus monopterygius,Female,7,24963477.4952406,420.819541050415,23.4568383971674
1,2023-09-14 19:00:20,AI,1994,21921,Atka mackerel,Pleurogrammus monopterygius,Female,8,40680942.4013593,423.784415301008,32.727175432089
1,2023-09-14 19:00:20,AI,1994,21921,Atka mackerel,Pleurogrammus monopterygius,Female,9,11142740.1193546,416.654049046373,35.280614589623
1,2023-09-14 19:00:20,AI,1994,21921,Atka mackerel,Pleurogrammus monopterygius,Female,10,33000804.0492929,411.929961669774,30.1616797591778
1,2023-09-14 19:00:20,AI,1994,21921,Atka mackerel,Pleurogrammus monopterygius,Female,11,5482121.15474584,376.789481114935,48.3410201513102
1,2023-09-14 19:00:20,AI,1994,21921,Atka mackerel,Pleurogrammus monopterygius,Female,14,698799.25,470,0
1,2023-09-14 19:00:20,AI,1994,21921,Atka mackerel,Pleurogrammus monopterygius,Male,-9,2239943,481.43271056451,23.3371667004519
1,2023-09-14 19:00:20,AI,1994,21921,Atka mackerel,Pleurogrammus monopterygius,Male,2,7930775.95555556,246.294814649466,19.5576865369291
1,2023-09-14 19:00:20,AI,1994,21921,Atka mackerel,Pleurogrammus monopterygius,Male,3,96279300.6730159,326.733680374338,17.7187162852254
1,2023-09-14 19:00:20,AI,1994,21921,Atka mackerel,Pleurogrammus monopterygius,Male,4,51470572.0050543,368.088735363267,26.7253107145311
1,2023-09-14 19:00:20,AI,1994,21921,Atka mackerel,Pleurogrammus monopterygius,Male,5,85139471.0305814,395.920415462197,30.8255389704133
1,2023-09-14 19:00:20,AI,1994,21921,Atka mackerel,Pleurogrammus monopterygius,Male,6,90949584.6315617,411.932192083612,27.5337389900447
1,2023-09-14 19:00:20,AI,1994,21921,Atka mackerel,Pleurogrammus monopterygius,Male,7,20194343.7871689,405.042654348847,21.1687290118321
1,2023-09-14 19:00:20,AI,1994,21921,Atka mackerel,Pleurogrammus monopterygius,Male,8,17865841.0486068,403.748002732916,34.0293146905118
1,2023-09-14 19:00:20,AI,1994,21921,Atka mackerel,Pleurogrammus monopterygius,Male,9,7761169.13161335,398.731959797211,11.9125658483973
1,2023-09-14 19:00:20,AI,1994,21921,Atka mackerel,Pleurogrammus monopterygius,Male,10,1208866.73684211,390,0
1,2023-09-14 19:00:20,AI,1994,21921,Atka mackerel,Pleurogrammus monopterygius,Unknown,-9,223098,190,0
1,2023-09-14 19:00:20,AI,1994,21921,Atka mackerel,Pleurogrammus monopterygius,Unknown,2,1312059,200.021081369054,0.458660295234367
1,2023-09-14 19:00:20,AI,1997,21921,Atka mackerel,Pleurogrammus monopterygius,Female,-9,13334778,499.548152207708,15.0142974762417
1,2023-09-14 19:00:20,AI,1997,21921,Atka mackerel,Pleurogrammus monopterygius,Female,2,9974355.70833333,261.743077791194,19.500414459605
1,2023-09-14 19:00:20,AI,1997,21921,Atka mackerel,Pleurogrammus monopterygius,Female,3,86192272.9449856,326.950813914352,22.9944821021206
1,2023-09-14 19:00:20,AI,1997,21921,Atka mackerel,Pleurogrammus monopterygius,Female,4,50966728.1253608,365.138766538755,19.8563313862634
1,2023-09-14 19:00:20,AI,1997,21921,Atka mackerel,Pleurogrammus monopterygius,Female,5,73317093.7445221,373.831662660852,35.2930996074457
1,2023-09-14 19:00:20,AI,1997,21921,Atka mackerel,Pleurogrammus monopterygius,Female,6,28624772.7676573,396.015302888528,41.3634798950539
1,2023-09-14 19:00:20,AI,1997,21921,Atka mackerel,Pleurogrammus monopterygius,Female,7,11810433.7505939,402.302510973992,45.855325646638
1,2023-09-14 19:00:20,AI,1997,21921,Atka mackerel,Pleurogrammus monopterygius,Female,8,17666125.5661616,425.739950185594,33.5124415131421
1,2023-09-14 19:00:20,AI,1997,21921,Atka mackerel,Pleurogrammus monopterygius,Female,9,23088436.7907537,422.912877458611,36.6635355532713
1,2023-09-14 19:00:20,AI,1997,21921,Atka mackerel,Pleurogrammus monopterygius,Female,10,4036012,483.689592597842,9.29445568400733
1,2023-09-14 19:00:20,AI,1997,21921,Atka mackerel,Pleurogrammus monopterygius,Female,11,5592603.23333333,420.161262766021,36.6657327593393
1,2023-09-14 19:00:20,AI,1997,21921,Atka mackerel,Pleurogrammus monopterygius,Female,12,1906105.14102564,416.452622366911,9.34965838564463
1,2023-09-14 19:00:20,AI,1997,21921,Atka mackerel,Pleurogrammus monopterygius,Female,13,4134783.22727273,433.01115408223,8.72123214066645
1,2023-09-14 19:00:20,AI,1997,21921,Atka mackerel,Pleurogrammus monopterygius,Male,-9,22973462,483.361018900852,16.379093984681
1,2023-09-14 19:00:20,AI,1997,21921,Atka mackerel,Pleurogrammus monopterygius,Male,2,10431236.2,259.146156425832,16.8586069002136
1,2023-09-14 19:00:20,AI,1997,21921,Atka mackerel,Pleurogrammus monopterygius,Male,3,116156303.550253,323.748076705297,21.5727460989137
1,2023-09-14 19:00:20,AI,1997,21921,Atka mackerel,Pleurogrammus monopterygius,Male,4,54884545.9986652,362.452935874456,23.6716346283775
1,2023-09-14 19:00:20,AI,1997,21921,Atka mackerel,Pleurogrammus monopterygius,Male,5,56427240.4534632,374.024116338181,26.5278735213599
1,2023-09-14 19:00:20,AI,1997,21921,Atka mackerel,Pleurogrammus monopterygius,Male,6,16691767.7214286,369.698911808585,45.0472647564674
1,2023-09-14 19:00:20,AI,1997,21921,Atka mackerel,Pleurogrammus monopterygius,Male,7,8611898.64880952,410.960233961958,19.8237451549959
1,2023-09-14 19:00:20,AI,1997,21921,Atka mackerel,Pleurogrammus monopterygius,Male,8,9587090.50714286,419.252734319244,19.8310853897878
